id1,id2,weight
Albert,Charlie,7
Albert,Chronos,3
Albert,Cora,3
Albert,Dean,5
Albert,Fiona,5
Albert,Lou,7
Albert,Lulu,1
Albert,Mildred,5
Albert,Mindy,7
Albert,Ramsey,4
Albert,Rolph,7
Alfred,Beth,3
Alfred,Hammer,1
Alfred,Sasha,3
Alfred,Susan,3
Alfred,TedHollander,3
Alice,Bennie,9
Alice,Charlie,1
Alice,Chris,1
Alice,DrBeet,1
Alice,Jocelyn,8
Alice,Joel,3
Alice,Lou,6
Alice,Marty,4
Alice,Rhea,3
Alice,Rolph,2
Alice,Sasha,1
Alice,Scotty,9
Alice,Stephanie,1
Alison,Lincoln,1
Alison,Rob,1
Alison,Sasha,1
AndyGrady,Beth,2
AndyGrady,Hammer,1
AndyGrady,Sasha,2
AndyGrady,Susan,1
AndyGrady,TedHollander,2
Arc,Dean,1
Arc,Dolly,8
Arc,Jules,1
Arc,KittyJackson,6
Arc,LaDoll,3
Arc,Lulu,8
Arc,TheGeneral,8
Ava,Bennie,1
Ava,Cara-Ann,1
Ava,Lupa,1
Ava,Rebecca,1
Ava,Scotty,1
Bennie,Bix,1
Bennie,Bosco,7
Bennie,Cara-Ann,8
Bennie,Charlie,1
Bennie,Chris,10
Bennie,Clay,2
Bennie,Collette,1
Bennie,Coz,1
Bennie,Dave,2
Bennie,DrBeet,3
Bennie,Drew,1
Bennie,Jocelyn,8
Bennie,Joel,3
Bennie,Jules,6
Bennie,Kathy,5
Bennie,KittyJackson,2
Bennie,LaDoll,1
Bennie,Lou,8
Bennie,Louisa,1
Bennie,Lulu,7
Bennie,Lupa,1
Bennie,Marty,4
Bennie,Noreen,3
Bennie,Olivia,2
Bennie,Rebecca,8
Bennie,Rhea,4
Bennie,Rob,1
Bennie,Rolph,3
Bennie,Sasha,14
Bennie,Scotty,18
Bennie,Stephanie,14
Bennie,Zeus,1
Beth,Hammer,2
Beth,Sasha,6
Beth,Susan,5
Beth,TedHollander,6
Bix,Bosco,2
Bix,Drew,5
Bix,Lizzie,3
Bix,Rob,4
Bix,Sasha,5
Bosco,Chris,3
Bosco,Clay,1
Bosco,Drew,2
Bosco,Jules,5
Bosco,Kathy,4
Bosco,KittyJackson,1
Bosco,LaDoll,1
Bosco,Lizzie,1
Bosco,Noreen,2
Bosco,Rob,1
Bosco,Sasha,3
Bosco,Stephanie,6
Cara-Ann,Chris,1
Cara-Ann,Lulu,6
Cara-Ann,Lupa,1
Cara-Ann,Rebecca,7
Cara-Ann,Sasha,2
Cara-Ann,Scotty,5
Cara-Ann,Stephanie,1
Cara-Ann,Zeus,1
Charlie,Chronos,3
Charlie,Cora,3
Charlie,Dean,5
Charlie,Fiona,5
Charlie,Jocelyn,1
Charlie,Lou,8
Charlie,Lulu,1
Charlie,Marty,1
Charlie,Mildred,5
Charlie,Mindy,7
Charlie,Ramsey,4
Charlie,Rhea,1
Charlie,Rolph,9
Charlie,Scotty,1
Chris,Clay,2
Chris,DrBeet,3
Chris,Jocelyn,1
Chris,Jules,3
Chris,Kathy,4
Chris,KittyJackson,2
Chris,LaDoll,1
Chris,Lou,1
Chris,Louisa,1
Chris,Lulu,1
Chris,Noreen,1
Chris,Olivia,2
Chris,Sasha,5
Chris,Scotty,1
Chris,Stephanie,9
Chronos,Cora,2
Chronos,Dean,3
Chronos,Fiona,3
Chronos,Lou,3
Chronos,Mildred,3
Chronos,Mindy,3
Chronos,Ramsey,2
Chronos,Rolph,3
Clay,Jules,1
Clay,Kathy,2
Clay,KittyJackson,1
Clay,Stephanie,2
Collette,Sasha,1
Cora,Dean,2
Cora,Fiona,2
Cora,Lou,3
Cora,Mildred,2
Cora,Mindy,3
Cora,Ramsey,1
Cora,Rolph,3
Coz,Lizzie,1
Coz,Rob,1
Coz,Sasha,5
Dave,Lou,1
Dave,Rhea,1
Dave,Rolph,1
Dave,Sasha,1
Dave,Scotty,2
Dean,Dolly,1
Dean,Fiona,5
Dean,KittyJackson,1
Dean,Lou,5
Dean,Lulu,1
Dean,Mildred,5
Dean,Mindy,5
Dean,Ramsey,3
Dean,Rolph,5
Dean,TheGeneral,1
Dolly,Jules,1
Dolly,KittyJackson,7
Dolly,LaDoll,3
Dolly,Lulu,9
Dolly,TheGeneral,9
DrBeet,Jocelyn,1
DrBeet,Louisa,1
DrBeet,Olivia,2
DrBeet,Sasha,2
DrBeet,Scotty,1
DrBeet,Stephanie,3
Drew,Lizzie,4
Drew,Rob,5
Drew,Sasha,7
Fiona,Lou,5
Fiona,Mildred,5
Fiona,Mindy,5
Fiona,Ramsey,3
Fiona,Rolph,5
Hammer,Sasha,2
Hammer,Susan,2
Hammer,TedHollander,2
Jocelyn,Joel,3
Jocelyn,Lou,6
Jocelyn,Marty,4
Jocelyn,Rhea,3
Jocelyn,Rolph,2
Jocelyn,Scotty,8
Jocelyn,Stephanie,1
Joel,Lou,3
Joel,Marty,2
Joel,Rhea,1
Joel,Scotty,3
Jules,Kathy,4
Jules,KittyJackson,4
Jules,LaDoll,1
Jules,Lulu,1
Jules,Noreen,2
Jules,Sasha,1
Jules,Stephanie,6
Jules,TheGeneral,1
Kathy,KittyJackson,2
Kathy,LaDoll,1
Kathy,Noreen,2
Kathy,Sasha,1
Kathy,Stephanie,5
KittyJackson,LaDoll,1
KittyJackson,Lulu,7
KittyJackson,Noreen,1
KittyJackson,Stephanie,2
KittyJackson,TheGeneral,7
LaDoll,Lulu,3
LaDoll,Sasha,1
LaDoll,Stephanie,1
LaDoll,TheGeneral,3
Lincoln,Rob,1
Lincoln,Sasha,1
Lizzie,Rob,2
Lizzie,Sasha,5
Lou,Lulu,1
Lou,Marty,4
Lou,Mildred,5
Lou,Mindy,7
Lou,Ramsey,4
Lou,Rhea,5
Lou,Rolph,12
Lou,Sasha,1
Lou,Scotty,7
Lou,Stephanie,1
Louisa,Olivia,1
Louisa,Sasha,1
Louisa,Stephanie,1
Lulu,Mindy,1
Lulu,Ramsey,1
Lulu,Rebecca,6
Lulu,Rolph,1
Lulu,Sasha,3
Lulu,Scotty,4
Lulu,Stephanie,1
Lulu,TheGeneral,9
Lulu,Zeus,1
Lupa,Rebecca,1
Lupa,Scotty,1
Marty,Rhea,1
Marty,Rolph,1
Marty,Scotty,4
Mildred,Mindy,5
Mildred,Ramsey,3
Mildred,Rolph,5
Mindy,Ramsey,4
Mindy,Rolph,7
Noreen,Stephanie,3
Olivia,Sasha,2
Olivia,Stephanie,2
Ramsey,Rolph,4
Rebecca,Sasha,3
Rebecca,Scotty,5
Rebecca,Stephanie,1
Rebecca,Zeus,1
Rhea,Rolph,4
Rhea,Scotty,4
Rob,Sasha,7
Rolph,Scotty,3
Sasha,Scotty,5
Sasha,Stephanie,5
Sasha,Susan,6
Sasha,TedHollander,8
Sasha,Wade,1
Sasha,Zeus,1
Scotty,Stephanie,2
Scotty,Zeus,1
Susan,TedHollander,6
Susan,Wade,1
TedHollander,Wade,1
