id1,id2,label 
Adams,Alley Oop,1
Adams,Bobby,1
Adams,Chattan,1
Adams,Churchill,1
Adams,Lawrence,1
Adams,MaryWaterhouse,1
AdmiralUgaki,Betty,1
AdmiralUgaki,Yamamoto,1
AlanTuring,Amy,2
AlanTuring,AviHalaby,1
AlanTuring,Baudot,2
AlanTuring,Beck,1
AlanTuring,BertrandRussell,1
AlanTuring,Bischoff,5
AlanTuring,Blanche,1
AlanTuring,Bobby,5
AlanTuring,Chattan,10
AlanTuring,Churchill,8
AlanTuring,Comstock,5
AlanTuring,Dengo,1
AlanTuring,Dentist,2
AlanTuring,Dentons,1
AlanTuring,DonaldMichie,1
AlanTuring,Dönitz,3
AlanTuring,DouglasMacArthur,1
AlanTuring,DougShaftoe,2
AlanTuring,Duffel,2
AlanTuring,EarlComstock,1
AlanTuring,Einstein,1
AlanTuring,Elmer,2
AlanTuring,Enoch,8
AlanTuring,Euler,1
AlanTuring,Ford,1
AlanTuring,GalvanickLucifer,1
AlanTuring,Glory,1
AlanTuring,Gödel,3
AlanTuring,GotoDengo,4
AlanTuring,Hardy,1
AlanTuring,HarryPackard,1
AlanTuring,HermannGöring,1
AlanTuring,HerrKahn,2
AlanTuring,James,1
AlanTuring,JohnCantrell,3
AlanTuring,Lawrence,54
AlanTuring,Main Guy,2
AlanTuring,Margaret,2
AlanTuring,MaryWaterhouse,8
AlanTuring,Montgomery,2
AlanTuring,MrShales,1
AlanTuring,MrsQrtt,1
AlanTuring,MrsRamshaw,2
AlanTuring,MrsTenney,1
AlanTuring,Randy,5
AlanTuring,Robson,1
AlanTuring,Rod,3
AlanTuring,RudolfvonHacklheber,23
AlanTuring,Schoen,2
AlanTuring,Virginia,2
AlanTuring,Welchman,1
AlanTuring,Yamamoto,3
AlanTuring,Yamashita,2
Alice,Amy,1
Alice,Andrew,1
Alice,Blanche,2
Alice,Bunyan,2
Alice,CliffordBerry,1
Alice,DougShaftoe,1
Alice,Godfrey,2
Alice,James,1
Alice,JohnCantrell,1
Alice,JohnVincentAtanasoff,1
Alice,Lawrence,2
Alice,Randy,1
Alice,Virginia,2
Alley Oop,Bobby,1
Alley Oop,Chattan,1
Alley Oop,Churchill,1
Alley Oop,Lawrence,1
Altamiras,Bobby,9
Altamiras,DouglasMacArthur,1
Altamiras,DougShaftoe,3
Altamiras,Enoch,1
Altamiras,Glory,7
Altamiras,GotoDengo,2
Altamiras,JackShaftoe,2
Altamiras,MaryWaterhouse,3
Altamiras,Nimrod,1
Altamiras,Pascual,1
Amy,Andrew,6
Amy,Anne,1
Amy,AviHalaby,14
Amy,Bobby,16
Amy,Charlene,8
Amy,Chester,5
Amy,Comstock,1
Amy,Dentist,6
Amy,DouglasMacArthur,1
Amy,DougShaftoe,17
Amy,EarlComstock,1
Amy,Enoch,8
Amy,Ernesto,3
Amy,Finux,1
Amy,Ford,1
Amy,Glory,10
Amy,GomerBolstrood,2
Amy,GotoDengo,3
Amy,JohnCantrell,5
Amy,Lawrence,6
Amy,Nina,2
Amy,Randy,52
Amy,RonaldReagan,1
Amy,RudolfvonHacklheber,2
Amy,ThomasHoward,3
Amy,Yamamoto,1
Andrew,AviHalaby,16
Andrew,BerylHagen,3
Andrew,Cantrell,6
Andrew,Charlene,3
Andrew,Chester,4
Andrew,Comstock,1
Andrew,Dentist,11
Andrew,Ding,1
Andrew,DougShaftoe,8
Andrew,DrMohammedPragasu,1
Andrew,Enoch,4
Andrew,Finux,2
Andrew,Foote,1
Andrew,GEBKivistik,1
Andrew,Glory,3
Andrew,GomerBolstrood,1
Andrew,GotoDengo,2
Andrew,HarvardLi,1
Andrew,JohnCantrell,5
Andrew,MrWing,1
Andrew,Pekka,2
Andrew,Randy,24
Andrew,ThomasHoward,8
Anne,AviHalaby,2
Anne,BerylHagen,1
Anne,Bobby,2
Anne,Dentist,1
Anne,DrMohammedPragasu,1
Anne,EberhardFöhr,1
Anne,GomerBolstrood,1
Anne,JohnCantrell,1
Anne,Lawrence,2
Anne,Nina,2
Anne,Randy,3
Anne,ThomasHoward,2
AviHalaby,Beowulf,1
AviHalaby,BerylHagen,16
AviHalaby,Bobby,5
AviHalaby,Cantrell,13
AviHalaby,Charlene,12
AviHalaby,Chester,10
AviHalaby,Comstock,6
AviHalaby,Darwin,1
AviHalaby,Dentist,27
AviHalaby,Ding,1
AviHalaby,DouglasMacArthur,4
AviHalaby,DougShaftoe,13
AviHalaby,DrMohammedPragasu,7
AviHalaby,EberhardFöhr,14
AviHalaby,ElizaPeak,2
AviHalaby,Enoch,8
AviHalaby,Ernesto,1
AviHalaby,Euler,1
AviHalaby,Finux,3
AviHalaby,Foote,6
AviHalaby,Ford,2
AviHalaby,Fourier,1
AviHalaby,GEBKivistik,1
AviHalaby,Glory,6
AviHalaby,Gödel,1
AviHalaby,GomerBolstrood,2
AviHalaby,Goto Furudenendu,2
AviHalaby,GotoDengo,8
AviHalaby,HarvardLi,5
AviHalaby,JohnCantrell,25
AviHalaby,Lawrence,5
AviHalaby,MaryAnnCarson,1
AviHalaby,MrWing,4
AviHalaby,Nina,1
AviHalaby,Randy,89
AviHalaby,Sean Daniel McGee,1
AviHalaby,ThomasHoward,28
AviHalaby,Yamamoto,1
AviHalaby,Yamashita,1
Baudot,Chattan,1
Baudot,Churchill,1
Baudot,Lawrence,2
Baudot,RudolfvonHacklheber,1
Baudot,Yamamoto,1
Beck,Bischoff,7
Beck,Bobby,8
Beck,Bowie,1
Beck,Chattan,1
Beck,Dönitz,5
Beck,Elmer,1
Beck,Enoch,7
Beck,Funkmaat,1
Beck,HerrKahn,1
Beck,JohnCantrell,1
Beck,Lawrence,1
Beck,OberfunkmaatHuffer,1
Beck,RonaldReagan,1
Benjamin,Bobby,7
Benjamin,Chattan,3
Benjamin,Enoch,5
Benjamin,Flanagan,2
Benjamin,Kuehl,2
Benjamin,Mikulski,1
Benjamin,Monkberg,4
Benjamin,RonaldReagan,1
Beowulf,Finux,1
Beowulf,Randy,1
BertrandRussell,Euler,1
BertrandRussell,Gödel,1
BertrandRussell,Lawrence,1
BertrandRussell,RudolfvonHacklheber,1
BertrandRussell,Virginia,1
BerylHagen,Cantrell,5
BerylHagen,Darwin,1
BerylHagen,Dentist,7
BerylHagen,DougShaftoe,2
BerylHagen,DrMohammedPragasu,4
BerylHagen,EberhardFöhr,10
BerylHagen,Foote,1
BerylHagen,Fourier,1
BerylHagen,GEBKivistik,1
BerylHagen,Glory,1
BerylHagen,Goto Furudenendu,1
BerylHagen,HarvardLi,1
BerylHagen,JohnCantrell,13
BerylHagen,Lawrence,1
BerylHagen,Randy,16
BerylHagen,Sean Daniel McGee,1
BerylHagen,ThomasHoward,15
BerylHagen,Yamashita,1
Betty,Yamamoto,2
Bischoff,Bobby,21
Bischoff,Bowie,1
Bischoff,Chattan,2
Bischoff,Comstock,1
Bischoff,Dönitz,14
Bischoff,EarlComstock,1
Bischoff,Elmer,1
Bischoff,Enoch,18
Bischoff,Funkmaat,1
Bischoff,GEBKivistik,2
Bischoff,Glory,1
Bischoff,GotoDengo,2
Bischoff,HermannGöring,2
Bischoff,HerrKahn,1
Bischoff,James,1
Bischoff,JohnCantrell,2
Bischoff,Lawrence,6
Bischoff,MaryWaterhouse,1
Bischoff,MrsTenney,2
Bischoff,OberfunkmaatHuffer,1
Bischoff,RudolfvonHacklheber,14
Bischoff,Yamashita,1
Blanche,Bunyan,2
Blanche,CliffordBerry,1
Blanche,GalvanickLucifer,1
Blanche,Godfrey,2
Blanche,James,1
Blanche,JohnCantrell,1
Blanche,JohnVincentAtanasoff,1
Blanche,Lawrence,3
Blanche,Margaret,1
Blanche,Virginia,2
Bobby,Branph,3
Bobby,Burnside,1
Bobby,Cantrell,1
Bobby,Charlene,4
Bobby,Chattan,10
Bobby,Churchill,1
Bobby,CommanderEden,1
Bobby,Comstock,2
Bobby,CorporalShaftoe,2
Bobby,Daniels,4
Bobby,Dentist,5
Bobby,Dönitz,13
Bobby,DouglasMacArthur,2
Bobby,DougShaftoe,12
Bobby,EarlComstock,2
Bobby,Elmer,1
Bobby,Enoch,51
Bobby,Ernesto,1
Bobby,Ethridge,8
Bobby,Flanagan,2
Bobby,Ford,1
Bobby,Frick,5
Bobby,Funkmaat,1
Bobby,GEBKivistik,2
Bobby,GeorgeCMarshall,1
Bobby,GeraldHott,8
Bobby,Ghnxh,1
Bobby,Glory,26
Bobby,GomerBolstrood,2
Bobby,GotoDengo,14
Bobby,Gowicki,1
Bobby,Harvey,2
Bobby,HermannGöring,2
Bobby,HerrKahn,1
Bobby,JackShaftoe,5
Bobby,James,1
Bobby,JohnCantrell,5
Bobby,JulietaKivistik,1
Bobby,Kuehl,2
Bobby,Lawrence,24
Bobby,MaryWaterhouse,5
Bobby,Mikulski,3
Bobby,Monkberg,8
Bobby,Montgomery,1
Bobby,MrShales,1
Bobby,MrsTenney,2
Bobby,MrWing,1
Bobby,Nathan,4
Bobby,Nimrod,2
Bobby,Nina,4
Bobby,Pascual,4
Bobby,Randy,26
Bobby,RonaldReagan,7
Bobby,RudolfvonHacklheber,17
Bobby,ThomasHoward,3
Bobby,Wiley,2
Bobby,Yamamoto,2
Bobby,Yamashita,4
Bowie,OberfunkmaatHuffer,1
Branph,Daniels,3
Branph,Enoch,2
Branph,Ethridge,3
Branph,GeorgeCMarshall,1
Branph,GeraldHott,3
Branph,Nathan,3
Bunyan,CliffordBerry,1
Bunyan,Godfrey,2
Bunyan,James,1
Bunyan,JohnCantrell,1
Bunyan,JohnVincentAtanasoff,1
Bunyan,Lawrence,2
Bunyan,Virginia,2
Burnside,Nimrod,1
Burnside,RonaldReagan,1
Caesar,Chattan,2
Caesar,Duffel,1
Caesar,Lawrence,2
Caesar,Woadmire,1
Cantrell,Comstock,3
Cantrell,Dentist,10
Cantrell,DougShaftoe,6
Cantrell,DrMohammedPragasu,4
Cantrell,EarlComstock,2
Cantrell,EberhardFöhr,5
Cantrell,Euler,1
Cantrell,Finux,2
Cantrell,Foote,3
Cantrell,Ford,1
Cantrell,Fourier,1
Cantrell,GEBKivistik,1
Cantrell,GomerBolstrood,2
Cantrell,Goto Furudenendu,1
Cantrell,HarvardLi,4
Cantrell,JohnCantrell,12
Cantrell,Lawrence,1
Cantrell,Margaret,1
Cantrell,Pekka,6
Cantrell,Randy,26
Cantrell,ThomasHoward,22
Cantrell,Virginia,1
Charlene,Chester,4
Charlene,Dentist,1
Charlene,DougShaftoe,1
Charlene,DrMohammedPragasu,1
Charlene,Ford,1
Charlene,GEBKivistik,2
Charlene,Glory,1
Charlene,JohnCantrell,2
Charlene,Jon,2
Charlene,MaryAnnCarson,1
Charlene,Nina,2
Charlene,Randy,27
Charlene,Tomas,1
Chattan,Churchill,5
Chattan,Dentons,1
Chattan,Dönitz,3
Chattan,Duffel,1
Chattan,Elmer,2
Chattan,Enoch,6
Chattan,Flanagan,1
Chattan,Ghnxh,1
Chattan,HerrKahn,2
Chattan,Kuehl,1
Chattan,Lawrence,20
Chattan,Main Guy,1
Chattan,Margaret,3
Chattan,Monkberg,2
Chattan,Montgomery,1
Chattan,MrShales,2
Chattan,MrsTenney,1
Chattan,Robson,2
Chattan,RudolfvonHacklheber,4
Chattan,Welchman,1
Chattan,Woadmire,1
Chattan,Yamamoto,2
Chester,Comstock,1
Chester,Dentist,4
Chester,Enoch,2
Chester,Gödel,1
Chester,MrWing,2
Chester,Nina,1
Chester,Randy,15
Churchill,Einstein,1
Churchill,Foote,1
Churchill,Ford,1
Churchill,GeorgeCMarshall,1
Churchill,Lawrence,13
Churchill,Main Guy,3
Churchill,MaryWaterhouse,1
Churchill,McGee,1
Churchill,Montgomery,1
Churchill,Randy,1
Churchill,Rod,1
Churchill,RudolfvonHacklheber,5
Churchill,Schoen,2
Churchill,Sean Daniel McGee,1
Churchill,ThomasHoward,1
Churchill,Yamamoto,3
CliffordBerry,Godfrey,1
CliffordBerry,JohnVincentAtanasoff,1
CliffordBerry,Lawrence,1
CliffordBerry,Virginia,1
CommanderEden,Enoch,1
Comstock,Dengo,1
Comstock,Dentist,4
Comstock,Dönitz,1
Comstock,DougShaftoe,5
Comstock,DrMohammedPragasu,1
Comstock,EarlComstock,8
Comstock,Enoch,5
Comstock,Ernesto,1
Comstock,Finux,1
Comstock,Ford,3
Comstock,Glory,1
Comstock,Gödel,1
Comstock,GotoDengo,3
Comstock,JohnCantrell,3
Comstock,Lawrence,12
Comstock,MaryWaterhouse,1
Comstock,MrWing,2
Comstock,Randy,11
Comstock,RudolfvonHacklheber,3
Comstock,ThomasHoward,3
Comstock,Yamamoto,1
Comstock,Yamashita,2
CorporalShaftoe,Frick,2
CorporalShaftoe,GotoDengo,2
CorporalShaftoe,JohnCantrell,1
Daniels,Enoch,3
Daniels,Ethridge,3
Daniels,GeorgeCMarshall,1
Daniels,GeraldHott,3
Daniels,MaryWaterhouse,1
Daniels,Nathan,4
Darwin,EberhardFöhr,1
Darwin,JohnCantrell,1
Darwin,Randy,1
Darwin,ThomasHoward,1
Dengo,Enoch,1
Dengo,GotoDengo,3
Dengo,Lawrence,1
Dengo,RudolfvonHacklheber,1
Dengo,Yamashita,1
Dentist,Ding,1
Dentist,DouglasMacArthur,1
Dentist,DougShaftoe,12
Dentist,DrMohammedPragasu,4
Dentist,EberhardFöhr,6
Dentist,Enoch,5
Dentist,Ernesto,1
Dentist,Euler,1
Dentist,Finux,3
Dentist,Foote,3
Dentist,Ford,2
Dentist,GEBKivistik,1
Dentist,Glory,5
Dentist,Gödel,1
Dentist,GomerBolstrood,1
Dentist,HarvardLi,3
Dentist,JohnCantrell,12
Dentist,Lawrence,1
Dentist,MrWing,3
Dentist,Pekka,1
Dentist,Randy,37
Dentist,ThomasHoward,15
Dentons,Lawrence,1
Dentons,Robson,1
Ding,Foote,1
Ding,Randy,1
DonaldMichie,Lawrence,1
DonaldMichie,MrsRamshaw,1
Dönitz,EarlComstock,1
Dönitz,Elmer,1
Dönitz,Enoch,10
Dönitz,Funkmaat,1
Dönitz,GEBKivistik,1
Dönitz,Glory,1
Dönitz,GotoDengo,1
Dönitz,HermannGöring,1
Dönitz,HerrKahn,1
Dönitz,JohnCantrell,1
Dönitz,Lawrence,5
Dönitz,Montgomery,1
Dönitz,MrShales,1
Dönitz,RudolfvonHacklheber,5
Dönitz,Yamamoto,1
Dönitz,Yamashita,1
DouglasMacArthur,DougShaftoe,1
DouglasMacArthur,Enoch,1
DouglasMacArthur,Ernesto,1
DouglasMacArthur,Glory,2
DouglasMacArthur,Goto Furudenendu,1
DouglasMacArthur,GotoDengo,6
DouglasMacArthur,Lawrence,1
DouglasMacArthur,MaryWaterhouse,2
DouglasMacArthur,Randy,4
DouglasMacArthur,RudolfvonHacklheber,1
DouglasMacArthur,Yamamoto,1
DougShaftoe,EarlComstock,3
DougShaftoe,EberhardFöhr,1
DougShaftoe,Enoch,9
DougShaftoe,Ernesto,1
DougShaftoe,Ford,3
DougShaftoe,Glory,10
DougShaftoe,GomerBolstrood,2
DougShaftoe,GotoDengo,8
DougShaftoe,JohnCantrell,11
DougShaftoe,Lawrence,4
DougShaftoe,MaryWaterhouse,2
DougShaftoe,MrWing,1
DougShaftoe,Randy,42
DougShaftoe,RonaldReagan,1
DougShaftoe,RudolfvonHacklheber,2
DougShaftoe,ThomasHoward,9
DougShaftoe,Yamashita,1
DrMohammedPragasu,EberhardFöhr,2
DrMohammedPragasu,Foote,1
DrMohammedPragasu,GEBKivistik,1
DrMohammedPragasu,HarvardLi,1
DrMohammedPragasu,JohnCantrell,4
DrMohammedPragasu,Randy,9
DrMohammedPragasu,ThomasHoward,5
Duffel,Lawrence,4
Duffel,MrsRamshaw,1
Duffel,RudolfvonHacklheber,2
EarlComstock,Enoch,1
EarlComstock,Ernesto,1
EarlComstock,Ford,2
EarlComstock,Glory,1
EarlComstock,GotoDengo,1
EarlComstock,JohnCantrell,1
EarlComstock,Lawrence,5
EarlComstock,Randy,4
EarlComstock,RudolfvonHacklheber,2
EarlComstock,ThomasHoward,2
EarlComstock,Yamashita,1
EberhardFöhr,Euler,1
EberhardFöhr,Foote,1
EberhardFöhr,Fourier,1
EberhardFöhr,Goto Furudenendu,1
EberhardFöhr,GotoDengo,1
EberhardFöhr,HarvardLi,3
EberhardFöhr,JohnCantrell,12
EberhardFöhr,Lawrence,1
EberhardFöhr,Randy,14
EberhardFöhr,Sean Daniel McGee,1
EberhardFöhr,ThomasHoward,13
Einstein,Lawrence,1
Einstein,Main Guy,1
Einstein,Schoen,1
ElizaPeak,Foote,2
ElizaPeak,Lawrence,1
ElizaPeak,McGee,1
ElizaPeak,Randy,3
ElizaPeak,Sean Daniel McGee,1
Elmer,Enoch,1
Elmer,HerrKahn,2
Elmer,Lawrence,2
Elmer,MrShales,1
Enoch,Ethridge,5
Enoch,Finux,1
Enoch,Flanagan,1
Enoch,Funkmaat,1
Enoch,GEBKivistik,2
Enoch,GeorgeCMarshall,1
Enoch,GeraldHott,6
Enoch,Ghnxh,1
Enoch,Glory,5
Enoch,Gödel,1
Enoch,GotoDengo,15
Enoch,HermannGöring,2
Enoch,HerrKahn,1
Enoch,James,1
Enoch,JohnCantrell,5
Enoch,Kuehl,1
Enoch,Lawrence,17
Enoch,Margaret,1
Enoch,MaryWaterhouse,3
Enoch,Mikulski,2
Enoch,Monkberg,4
Enoch,MrShales,1
Enoch,MrsTenney,2
Enoch,MrWing,7
Enoch,Nathan,3
Enoch,Randy,26
Enoch,RonaldReagan,2
Enoch,RudolfvonHacklheber,17
Enoch,Yamashita,3
Ernesto,Glory,3
Ernesto,Randy,3
Ethridge,GeorgeCMarshall,1
Ethridge,GeraldHott,7
Ethridge,Nathan,3
Ethridge,RonaldReagan,1
Euler,Gödel,1
Euler,HarvardLi,1
Euler,JohnCantrell,1
Euler,Lawrence,1
Euler,Randy,1
Euler,RudolfvonHacklheber,1
Euler,ThomasHoward,1
Euler,Virginia,1
Finux,JohnCantrell,1
Finux,Pekka,2
Finux,Randy,6
Finux,ThomasHoward,2
Finux,Yamamoto,1
Flanagan,Kuehl,2
Flanagan,RonaldReagan,1
Foote,HarvardLi,1
Foote,JohnCantrell,4
Foote,Lawrence,1
Foote,McGee,2
Foote,Randy,8
Foote,Sean Daniel McGee,2
Foote,ThomasHoward,4
Ford,JohnCantrell,1
Ford,Lawrence,3
Ford,Main Guy,1
Ford,Randy,4
Ford,Schoen,1
Ford,ThomasHoward,1
Fourier,Goto Furudenendu,1
Fourier,Randy,1
Fourier,ThomasHoward,1
Frick,Glory,1
Frick,GotoDengo,3
Frick,Gowicki,1
Frick,JohnCantrell,1
GalvanickLucifer,Lawrence,1
GalvanickLucifer,Margaret,1
GEBKivistik,HarvardLi,1
GEBKivistik,HermannGöring,1
GEBKivistik,JohnCantrell,2
GEBKivistik,Jon,1
GEBKivistik,Randy,3
GEBKivistik,RudolfvonHacklheber,1
GEBKivistik,ThomasHoward,1
GeorgeCMarshall,GeraldHott,1
GeorgeCMarshall,Lawrence,1
GeorgeCMarshall,Nathan,1
GeraldHott,Nathan,3
Ghnxh,Lawrence,2
Glory,GotoDengo,5
Glory,JackShaftoe,4
Glory,JohnCantrell,2
Glory,JulietaKivistik,1
Glory,Lawrence,1
Glory,MaryWaterhouse,3
Glory,Mikulski,1
Glory,Nimrod,1
Glory,Pascual,4
Glory,Randy,14
Glory,RudolfvonHacklheber,4
Glory,ThomasHoward,1
Glory,Yamamoto,1
Gödel,Hardy,1
Gödel,Lawrence,3
Gödel,MrWing,1
Gödel,Randy,1
Gödel,RudolfvonHacklheber,3
Gödel,Virginia,1
Godfrey,James,1
Godfrey,JohnCantrell,1
Godfrey,JohnVincentAtanasoff,1
Godfrey,Lawrence,2
Godfrey,Virginia,2
GomerBolstrood,Granny,1
GomerBolstrood,JohnCantrell,1
GomerBolstrood,Lawrence,2
GomerBolstrood,Margaret,1
GomerBolstrood,Nina,2
GomerBolstrood,Pekka,1
GomerBolstrood,Randy,6
GomerBolstrood,RonaldReagan,1
GomerBolstrood,ThomasHoward,4
GomerBolstrood,Virginia,2
Goto Furudenendu,GotoDengo,1
Goto Furudenendu,Randy,2
Goto Furudenendu,ThomasHoward,1
GotoDengo,JackShaftoe,1
GotoDengo,JohnCantrell,3
GotoDengo,Lawrence,8
GotoDengo,MaryWaterhouse,4
GotoDengo,MrWing,2
GotoDengo,Randy,11
GotoDengo,RudolfvonHacklheber,4
GotoDengo,ThomasHoward,1
GotoDengo,Yamamoto,14
GotoDengo,Yamashita,3
Granny,Virginia,2
Hardy,Lawrence,1
Hardy,RudolfvonHacklheber,1
HarryPackard,Lawrence,2
HarryPackard,RudolfvonHacklheber,1
HarvardLi,JohnCantrell,5
HarvardLi,Randy,5
HarvardLi,ThomasHoward,3
Harvey,Lawrence,1
HermannGöring,James,1
HermannGöring,Lawrence,1
HermannGöring,MrsTenney,1
HermannGöring,RudolfvonHacklheber,3
HerrKahn,Lawrence,2
HerrKahn,MrShales,1
JackShaftoe,MaryWaterhouse,1
JackShaftoe,Nimrod,1
JackShaftoe,Pascual,3
James,JohnCantrell,1
James,Lawrence,2
James,MrsTenney,1
James,RudolfvonHacklheber,1
James,Virginia,1
JohnCantrell,Lawrence,7
JohnCantrell,MaryWaterhouse,1
JohnCantrell,Montgomery,1
JohnCantrell,MrWing,1
JohnCantrell,Randy,34
JohnCantrell,RudolfvonHacklheber,1
JohnCantrell,Sean Daniel McGee,1
JohnCantrell,ThomasHoward,23
JohnCantrell,Virginia,1
JohnCantrell,Yamamoto,2
JohnCantrell,Yamashita,1
JohnVincentAtanasoff,Lawrence,1
JohnVincentAtanasoff,Virginia,1
Jon,Nina,1
Jon,Randy,2
