id1,id2,label 
Aaron,AsianHenryYoung,1
Aaron,Harold,1
Aaron,JB,1
Aaron,Jude,1
Aaron,Malcolm,1
Aaron,Willem,1
Adam,Citizen,1
Adam,DrLi,1
Adam,Harold,1
Adam,JB,1
Adam,Julia,1
Adam,Marshall,1
Adam,Rhodes,1
Adam,Scott,1
Adam,Sullivan,1
Adam,Willem,1
Adele,Dennys,1
Adele,Gillian,1
Adele,Harold,1
Adele,Jacob,4
Adele,Julia,1
Adele,Laurence,1
Adele,Liesl,4
Adele,Nathan,1
Adele,Sally,4
Adele,Sarah,1
Adele,Sullivan,1
Adele,Thomas,1
Agnes,Ana,2
Agnes,Douglass,2
Agnes,Jude,2
Agnes,Leslie,1
Agnes,Rosie,1
Agnes,Traylor,1
Ahmed,Ana,1
Ahmed,Andy,6
Ahmed,BrotherLuke,2
Ahmed,BrotherPavel,1
Ahmed,Caleb,1
Ahmed,Citizen,2
Ahmed,DrLoehmann,2
Ahmed,Elijah,3
Ahmed,Flora,1
Ahmed,Harold,6
Ahmed,Henry,1
Ahmed,HenryYoungs,2
Ahmed,India,2
Ahmed,James,1
Ahmed,Jane,1
Ahmed,JB,6
Ahmed,Jude,4
Ahmed,Julia,6
Ahmed,Linus,2
Ahmed,Lucien,1
Ahmed,Malcolm,1
Ahmed,Patrizia,1
Ahmed,Phaedra,1
Ahmed,Rhodes,3
Ahmed,Richard,6
Ahmed,Sanjay,2
Ahmed,Sophie,1
Ahmed,StephanWu,1
Ahmed,Traylor,1
Ahmed,Willem,7
Aksel,Andy,1
Aksel,Britte,2
Aksel,Harold,1
Aksel,Hemming,3
Aksel,Jane,1
Aksel,JB,2
Aksel,Jude,1
Aksel,Judy,1
Aksel,Julia,1
Aksel,Malcolm,2
Aksel,Merritt,1
Aksel,Richard,1
Aksel,Willem,3
Alex,AsianHenryYoung,1
Alex,BlackHenryYoung,1
Alex,Caleb,2
Alex,Felix,1
Alex,Harold,1
Alex,JB,1
Alex,Jude,1
Alex,Julia,1
Alex,Malcolm,3
Alex,Marion,1
Alex,Rhodes,3
Alex,Richard,3
Alex,Sophie,1
Alex,Willem,2
Ali,Ana,1
Ali,Andy,2
Ali,AsianHenryYoung,4
Ali,BlackHenryYoung,1
Ali,BrotherLuke,1
Ali,Chen,1
Ali,Ezra,1
Ali,FatherGabriel,1
Ali,Flora,1
Ali,Harold,3
Ali,Henry,1
Ali,HenryYoungs,2
Ali,India,2
Ali,Irvine,1
Ali,Jackson,3
Ali,JB,8
Ali,Jude,8
Ali,Judy,3
Ali,Julia,3
Ali,Malcolm,5
Ali,Massimo,1
Ali,Perry,1
Ali,PetersonTremain,1
Ali,Phaedra,2
Ali,Richard,8
Ali,Sophie,2
Ali,Toby,1
Ali,Traylor,1
Ali,Willem,7
Ali,Zane,1
Allison,Andy,1
Allison,Carey,1
Allison,CharlieMa,1
Allison,Citizen,1
Allison,DrLi,1
Allison,Harold,2
Allison,James,1
Allison,Janusz,1
Allison,JB,1
Allison,Jude,1
Allison,Julia,1
Allison,Kashen,1
Allison,Laurence,1
Allison,Lionel,1
Allison,Malcolm,1
Allison,Marshall,1
Allison,Rhodes,1
Allison,Willem,1
Ana,Andy,6
Ana,AsianHenryYoung,1
Ana,BlackHenryYoung,1
Ana,BrotherLuke,7
Ana,Caleb,2
Ana,Carey,1
Ana,Carolina,1
Ana,Citizen,3
Ana,Cressy,1
Ana,Douglass,2
Ana,DrLoehmann,2
Ana,Elijah,1
Ana,FatherGabriel,1
Ana,Flora,1
Ana,Gillian,1
Ana,Harold,5
Ana,Henry,1
Ana,James,1
Ana,JB,5
Ana,Jude,9
Ana,Judy,1
Ana,Julia,4
Ana,Kit,1
Ana,Laurence,1
Ana,Leslie,3
Ana,Linus,1
Ana,Lionel,1
Ana,Lucien,3
Ana,Luke,2
Ana,Malcolm,4
Ana,Miguel,1
Ana,Oliver,1
Ana,Phaedra,3
Ana,Philippa,1
Ana,Rhodes,1
Ana,Richard,4
Ana,Robin,1
Ana,RobWilson,1
Ana,Rosie,1
Ana,Sanjay,1
Ana,Sinclair,1
Ana,Sophie,1
Ana,Susannah,1
Ana,Traylor,7
Ana,Willem,8
Andy,AsianHenryYoung,3
Andy,Astrov,1
Andy,Avi,1
Andy,Beatrice,2
Andy,Beckett,3
Andy,BlackHenryYoung,5
Andy,Britte,1
Andy,BrotherLuke,18
Andy,BrotherPavel,1
Andy,BrotherPeter,2
Andy,Caleb,18
Andy,Callie,1
Andy,Carey,2
Andy,Carl,1
Andy,CharlieMa,1
Andy,Citizen,11
Andy,Claudine,1
Andy,Cressy,3
Andy,DrLi,1
Andy,DrLoehmann,11
Andy,DrNesarian,1
Andy,Elena,1
Andy,Elijah,12
Andy,Emil,5
Andy,Ezra,1
Andy,Felix,2
Andy,Flora,3
Andy,Franklin,2
Andy,Fredrik,3
Andy,Gabe,1
Andy,George,1
Andy,Gillian,4
Andy,Greig,1
Andy,Harold,71
Andy,Hemming,4
Andy,Henry,1
Andy,HenryYoungs,7
Andy,Ignatius,1
Andy,India,13
