id1,id2,weight
BartArbergast,CharlesGould,4
BartArbergast,ChiefHardwick,1
BartArbergast,FannyBriggs,2
BartArbergast,FrankChancre,5
BartArbergast,JamesFulton,1
BartArbergast,LilaMaeWatson,5
BartArbergast,MrReed,1
BartArbergast,OrvilleLever,1
BartArbergast,Pompey,2
BartArbergast,RickRaymond,1
BenUrich,BigBillyPorter,1
BenUrich,Billy,4
BenUrich,FannyBriggs,2
BenUrich,FrankChancre,4
BenUrich,JamesFulton,4
BenUrich,JimCorrigan,3
BenUrich,JohnMurphy,3
BenUrich,JohnnyShush,2
BenUrich,LilaMaeWatson,8
BenUrich,MarieClaireRogers,1
BenUrich,MissBettyWilliams,1
BenUrich,MrReed,3
BenUrich,Natchez,1
BenUrich,OrvilleLever,3
BenUrich,RaymondCoombs,1
Bernard,FrederickGorse,1
Bernard,JamesFulton,1
Bernard,JohnnyShush,1
Bernard,Johnson,1
Bernard,LazyJoeMarkham,1
Bernard,LilaMaeWatson,1
Bernard,MartinGruber,1
Bernard,ProfessorMcKean,1
BigBillyPorter,Billy,1
BigBillyPorter,FrankChancre,1
BigBillyPorter,JamesFulton,1
BigBillyPorter,LilaMaeWatson,3
BigBillyPorter,MartinGruber,2
BigBillyPorter,MrReed,1
BigBillyPorter,Pompey,1
BigBillyPorter,RickRaymond,1
BigBillyPorter,TheSuperintendent,1
Billy,CharlesGould,1
Billy,JamesFulton,1
Billy,JimCorrigan,2
Billy,JohnMurphy,2
Billy,JohnnyShush,1
Billy,LilaMaeWatson,3
Billy,MissBettyWilliams,1
Billy,MrReed,1
Billy,Natchez,2
Billy,RaymondCoombs,1
CharlesGould,ChiefHardwick,1
CharlesGould,FannyBriggs,12
CharlesGould,FrankChancre,14
CharlesGould,HalitosisHarry,1
CharlesGould,JamesFulton,4
CharlesGould,JimCorrigan,2
CharlesGould,Jimmy,2
CharlesGould,JohnMurphy,2
CharlesGould,JohnnyShush,2
CharlesGould,LazyJoeMarkham,1
CharlesGould,LilaMaeWatson,17
CharlesGould,MarieClaireRogers,1
CharlesGould,MrReed,2
CharlesGould,Natchez,4
CharlesGould,OrvilleLever,3
CharlesGould,PiefacedAnnie,2
CharlesGould,Pompey,5
CharlesGould,RickRaymond,1
ChiefHardwick,FannyBriggs,1
ChiefHardwick,FrankChancre,1
ChiefHardwick,LilaMaeWatson,1
FannyBriggs,FrankChancre,22
FannyBriggs,HalitosisHarry,1
FannyBriggs,JamesFulton,12
FannyBriggs,JimCorrigan,4
FannyBriggs,Jimmy,3
FannyBriggs,JohnMurphy,4
FannyBriggs,JohnnyShush,1
FannyBriggs,Johnson,1
FannyBriggs,LazyJoeMarkham,1
FannyBriggs,LilaMaeWatson,29
FannyBriggs,MarieClaireRogers,1
FannyBriggs,MrReed,5
FannyBriggs,Natchez,7
FannyBriggs,OrvilleLever,10
FannyBriggs,PiefacedAnnie,2
FannyBriggs,Pompey,11
FannyBriggs,RaymondCoombs,1
FrankChancre,HalitosisHarry,1
FrankChancre,JamesFulton,15
FrankChancre,JimCorrigan,2
FrankChancre,Jimmy,3
FrankChancre,JohnMurphy,2
FrankChancre,JohnnyShush,4
FrankChancre,Johnson,1
FrankChancre,LazyJoeMarkham,2
FrankChancre,LilaMaeWatson,40
FrankChancre,MarieClaireRogers,3
FrankChancre,MartinGruber,1
FrankChancre,MrReed,8
FrankChancre,Natchez,10
FrankChancre,OrvilleLever,13
FrankChancre,PiefacedAnnie,1
FrankChancre,Pompey,14
FrankChancre,RaymondCoombs,1
